embedding_model,llm_model,metrics/Accuracy@K,metrics/Recall@K,metrics/MRR,timing/total_ms,timing/retrieval_ms,timing/generation_ms,retrieval_score,latency_penalty,overall_score,rank
all-MiniLM-L6-v2,llama-3.1-8b-instant,0.8481,0.2318,1.0,1337.2396,19.5194,1317.7202,0.632,0.1878,0.4442,1.0
all-MiniLM-L6-v2,llama-3.3-70b-versatile,0.8481,0.2318,1.0,1424.2137,17.0319,1407.1818,0.632,0.2,0.432,2.0
all-mpnet-base-v2,llama-3.3-70b-versatile,0.6148,0.2026,0.7593,1366.361,65.5894,1300.7716,0.4788,0.1919,0.2869,3.0
all-mpnet-base-v2,llama-3.1-8b-instant,0.6148,0.2026,0.7593,1384.0419,58.8811,1325.1608,0.4788,0.1944,0.2844,4.0
